1000,10.289850625,408742,cache-references,82236247,100.0
1001,10.300243273,508010,cache-references,82237579,100.0
1002,10.310636894,489995,cache-references,82238358,100.0
1003,10.321008628,373691,cache-references,82238752,100.0
1004,10.331355048,351823,cache-references,82239757,100.0
1005,10.341750661,452573,cache-references,82240265,100.0
1006,10.35212022,476311,cache-references,82240846,100.0
1007,10.362407321,1183259,cache-references,82241192,100.0
1008,10.37280395,758833,cache-references,82242159,100.0
1009,10.383181894,1150138,cache-references,82243279,100.0
1010,10.393603195,582313,cache-references,82243999,100.0
1011,10.403987834,764845,cache-references,82244811,100.0
1012,10.41432603,490258,cache-references,82245688,100.0
1013,10.424709484,598566,cache-references,82246112,100.0
1014,10.435084376,819426,cache-references,82247053,100.0
1015,10.445483024,796154,cache-references,82247603,100.0
1016,10.455805923,1009598,cache-references,82247940,100.0
1017,10.46615122,596282,cache-references,82248290,100.0
1018,10.476466368,489245,cache-references,82248669,100.0
1019,10.486812753,722365,cache-references,82249375,100.0
1020,10.497184722,613912,cache-references,82249880,100.0
1021,10.507495086,527020,cache-references,82250330,100.0
1022,10.517906023,432066,cache-references,82251199,100.0
1023,10.528257804,460153,cache-references,82252039,100.0
1024,10.53868066,701973,cache-references,82253104,100.0
1025,10.549079474,1227401,cache-references,82254025,100.0
1026,10.559517303,671293,cache-references,82255096,100.0
1027,10.56987287,811900,cache-references,82255513,100.0
1028,10.580169763,777508,cache-references,82255644,100.0
1029,10.590530439,648010,cache-references,82256711,100.0
1030,10.601295853,1133721,cache-references,82259928,100.0
1031,10.611648888,737658,cache-references,82260577,100.0
1032,10.621965958,1132131,cache-references,82260502,100.0
1033,10.632268364,927794,cache-references,82260877,100.0
1034,10.642594376,817210,cache-references,82261041,100.0
1035,10.652887337,692494,cache-references,82261606,100.0
1036,10.663267133,554182,cache-references,82262175,100.0
1037,10.673601206,428803,cache-references,82262391,100.0
1038,10.683908911,434435,cache-references,82262711,100.0
1039,10.694227576,708580,cache-references,82262917,100.0
1040,10.704594067,605050,cache-references,82263823,100.0
1041,10.714957718,1075939,cache-references,82264590,100.0
1042,10.725417168,481828,cache-references,82265770,100.0
1043,10.735780299,494670,cache-references,82266106,100.0
1044,10.746104945,441309,cache-references,82266233,100.0
1045,10.756383502,364896,cache-references,82266678,100.0
1046,10.766844924,723838,cache-references,82267572,100.0
1047,10.7771218,1414777,cache-references,82267480,100.0
1048,10.787354187,644549,cache-references,82267293,100.0
1049,10.797657774,897719,cache-references,82267796,100.0
1050,10.807931814,439959,cache-references,82267576,100.0
1051,10.818208379,457147,cache-references,82267746,100.0
1052,10.828533312,510947,cache-references,82267946,100.0
1053,10.838908521,1226238,cache-references,82268620,100.0
1054,10.849268007,502659,cache-references,82269640,100.0
1055,10.859707772,626546,cache-references,82270228,100.0
1056,10.870050728,1154141,cache-references,82270832,100.0
1057,10.880409193,512810,cache-references,82271731,100.0
1058,10.89087702,427169,cache-references,82273273,100.0
1059,10.901328173,986926,cache-references,82274726,100.0
1060,10.911837737,611842,cache-references,82276363,100.0
1061,10.922295017,497839,cache-references,82277618,100.0
1062,10.932772035,907278,cache-references,82279216,100.0
1063,10.943282786,508395,cache-references,82280921,100.0
1064,10.953772956,459786,cache-references,82282403,100.0
1065,10.964281983,947564,cache-references,82283588,100.0
1066,10.974711847,592014,cache-references,82284286,100.0
1067,10.985039936,1060211,cache-references,82284413,100.0
1068,10.995344362,665040,cache-references,82284937,100.0
1069,11.005719475,426040,cache-references,82285468,100.0
1070,11.016095422,484016,cache-references,82286074,100.0
1071,11.026441043,869662,cache-references,82286387,100.0
1072,11.03678813,936818,cache-references,82287036,100.0
1073,11.047067257,999233,cache-references,82287504,100.0
1074,11.057489322,490857,cache-references,82288383,100.0
1075,11.067874132,663840,cache-references,82289135,100.0
1076,11.078219812,680784,cache-references,82290594,100.0
1077,11.088766424,822536,cache-references,82291380,100.0
1078,11.099140915,774895,cache-references,82292042,100.0
1079,11.109495046,453868,cache-references,82292746,100.0
1080,11.119873547,463882,cache-references,82293423,100.0
1081,11.130311609,987741,cache-references,82294014,100.0
1082,11.140594267,573801,cache-references,82294041,100.0
1083,11.150959186,462621,cache-references,82294412,100.0
1084,11.161227404,432429,cache-references,82294158,100.0
1085,11.171508339,491357,cache-references,82294200,100.0
1086,11.181734701,457879,cache-references,82294010,100.0
1087,11.192075796,424633,cache-references,82294572,100.0
1088,11.202413818,824128,cache-references,82294507,100.0
1089,11.212661277,809570,cache-references,82294231,100.0
1090,11.222935988,485226,cache-references,82294114,100.0
1091,11.233251559,426277,cache-references,82294483,100.0
1092,11.243584314,570847,cache-references,82294737,100.0
1093,11.253865338,599254,cache-references,82294702,100.0
1094,11.264174384,698433,cache-references,82294939,100.0
1095,11.274470733,492546,cache-references,82294996,100.0
1096,11.284779036,607049,cache-references,82295104,100.0
1097,11.295079407,664276,cache-references,82296222,100.0
1098,11.305613908,466723,cache-references,82297067,100.0
1099,11.315922484,487196,cache-references,82297245,100.0
1100,11.326210319,337054,cache-references,82297094,100.0
1101,11.33650881,362904,cache-references,82297260,100.0
1102,11.346837349,984261,cache-references,82297717,100.0
1103,11.357169047,479170,cache-references,82297839,100.0
1104,11.36749577,1196927,cache-references,82298040,100.0
1105,11.377784668,555334,cache-references,82298234,100.0
1106,11.388083941,460517,cache-references,82298181,100.0
1107,11.398314645,558113,cache-references,82297859,100.0
1108,11.408615048,474002,cache-references,82298247,100.0
1109,11.418952334,363647,cache-references,82298443,100.0
1110,11.429271861,419484,cache-references,82298711,100.0
