time-interval,counter-value,event,runtime,percentage
10.307009509,309933,branch-instructions,65909282,80.01
10.317362065,989338,branch-instructions,65917447,80.02
10.327725356,386434,branch-instructions,65911191,80.01
10.338134193,331708,branch-instructions,65913865,80.02
10.34843269,1249317,branch-instructions,65913008,80.02
10.35881412,410672,branch-instructions,65910202,80.01
10.369168413,272546,branch-instructions,65915590,80.02
10.379507961,355528,branch-instructions,65906652,80.01
10.389748727,323224,branch-instructions,65916029,80.02
10.400056326,1773790,branch-instructions,65902884,80.0
10.410280352,1559295,branch-instructions,65917028,80.02
10.420575723,1330278,branch-instructions,65901544,80.0
10.430929501,406935,branch-instructions,65918204,80.02
10.441226169,381774,branch-instructions,65902701,80.0
10.45149372,380167,branch-instructions,65918245,80.02
10.472528957,4827366,branch-instructions,65987519,80.02
10.482705879,1559168,branch-instructions,65971332,80.01
10.492929152,408193,branch-instructions,65986911,80.02
10.503111206,428927,branch-instructions,65970376,80.01
10.51336709,301686,branch-instructions,65986288,80.03
10.523647659,2649230,branch-instructions,65970476,80.01
10.53387798,2687760,branch-instructions,65986023,80.03
10.544162331,1084112,branch-instructions,65970578,80.01
10.554387911,353190,branch-instructions,65986024,80.03
10.56455911,1142336,branch-instructions,65969793,80.01
10.574782413,899091,branch-instructions,65985201,80.03
10.585015231,361764,branch-instructions,65969087,80.01
10.595262741,445934,branch-instructions,65984771,80.03
10.605492407,368665,branch-instructions,65969027,80.01
10.61571564,333437,branch-instructions,65984324,80.03
10.625871251,466319,branch-instructions,65968126,80.01
10.636092484,392783,branch-instructions,65983419,80.03
10.646262959,1076814,branch-instructions,65966858,80.01
10.656448538,1621403,branch-instructions,65981227,80.03
10.66667609,433749,branch-instructions,65966244,80.01
10.676847699,1854700,branch-instructions,65977204,80.02
10.687091343,3915282,branch-instructions,65965723,80.01
10.697393055,5878674,branch-instructions,65973185,80.02
10.707586903,765243,branch-instructions,65965339,80.01
10.717714962,932162,branch-instructions,65970099,80.02
10.727819837,380633,branch-instructions,65963557,80.01
10.738070647,723120,branch-instructions,65965308,80.02
10.748168499,971796,branch-instructions,65962221,80.01
10.758403186,438070,branch-instructions,65961516,80.01
10.768581028,437870,branch-instructions,65961633,80.01
10.778874125,992094,branch-instructions,65957530,80.01
10.789099644,345988,branch-instructions,65962255,80.01
10.799470181,2089788,branch-instructions,65954001,80.0
10.80974612,348501,branch-instructions,65962706,80.02
10.820051034,886961,branch-instructions,65950152,80.0
10.830298866,1500541,branch-instructions,65963582,80.02
10.840585709,361893,branch-instructions,65948772,80.0
10.850881593,1349510,branch-instructions,65964175,80.02
10.861166678,922944,branch-instructions,65949430,80.0
10.871419058,827982,branch-instructions,65964619,80.02
10.881687338,1503374,branch-instructions,65949551,80.0
10.891945788,678691,branch-instructions,65964923,80.02
10.902226775,1239586,branch-instructions,65949997,80.0
10.912479345,1105520,branch-instructions,65965294,80.02
10.922768842,476465,branch-instructions,65950690,80.0
10.933039169,318185,branch-instructions,65965824,80.02
10.943360152,375953,branch-instructions,65951158,80.0
10.953644321,328791,branch-instructions,65966547,80.02
10.963896416,1228602,branch-instructions,65951562,80.0
10.974141797,3553675,branch-instructions,65966971,80.02
10.984446149,3282978,branch-instructions,65951935,80.01
10.994734431,941298,branch-instructions,65967384,80.02
11.005038346,399719,branch-instructions,65953009,80.01
11.015378296,457663,branch-instructions,65968489,80.03
11.0256626,815611,branch-instructions,65953907,80.01
11.035998678,1676429,branch-instructions,65969576,80.03
11.046317324,861179,branch-instructions,65954876,80.01
11.056582926,1104975,branch-instructions,65968048,80.03
11.066842369,1181129,branch-instructions,65955396,80.01
11.077181215,1895974,branch-instructions,65964326,80.02
11.087468087,1451040,branch-instructions,65956044,80.01
11.097788923,1673486,branch-instructions,65960722,80.02
11.108082424,1270811,branch-instructions,65957072,80.01
11.118330413,1091442,branch-instructions,65957021,80.01
11.128696429,408845,branch-instructions,65958213,80.01
11.139018687,314679,branch-instructions,65953427,80.01
11.149342845,2060761,branch-instructions,65959746,80.01
11.159700891,408660,branch-instructions,65950062,80.0
11.170231927,371345,branch-instructions,65962518,80.02
11.180460322,1205761,branch-instructions,65947917,80.0
11.190800083,566022,branch-instructions,65963177,80.02
11.201084557,367417,branch-instructions,65948710,80.0
11.211353459,381094,branch-instructions,65964127,80.02
11.221739547,429455,branch-instructions,65949678,80.0
11.23198236,1339503,branch-instructions,65964543,80.02
11.242275298,1093114,branch-instructions,65950181,80.0
11.25252905,1008125,branch-instructions,65964741,80.02
11.262821577,545456,branch-instructions,65950796,80.0
11.273191037,1275371,branch-instructions,65966349,80.02
11.283468319,1452065,branch-instructions,65951747,80.0
11.29376816,1798568,branch-instructions,65966889,80.02
11.304033689,435202,branch-instructions,65952484,80.01
11.314271021,450418,branch-instructions,65966743,80.02
11.324450099,417503,branch-instructions,65951858,80.01
11.334645638,355065,branch-instructions,65966136,80.02
11.344890755,529873,branch-instructions,65951774,80.01
11.355234573,330226,branch-instructions,65966986,80.02
11.365559019,387470,branch-instructions,65953000,80.01
11.375865861,348043,branch-instructions,65968070,80.03
11.386182369,419323,branch-instructions,65954257,80.01
11.396500932,520908,branch-instructions,65968143,80.03
11.406798109,381691,branch-instructions,65955435,80.01
11.417127465,369031,branch-instructions,65964654,80.02
11.427434681,369515,branch-instructions,65956301,80.01
11.437751053,431862,branch-instructions,65961133,80.02
11.448055681,317732,branch-instructions,65957296,80.01
11.458344161,362698,branch-instructions,65957610,80.01
11.468599027,640588,branch-instructions,65958171,80.01
11.478931721,3418375,branch-instructions,65954251,80.01
11.489197773,736124,branch-instructions,65959223,80.01
11.499574335,1611211,branch-instructions,65950547,80.0
11.509754976,540159,branch-instructions,65959009,80.02
11.520035749,429889,branch-instructions,65947098,80.0
11.53023177,390501,branch-instructions,65960094,80.02
11.540663966,365514,branch-instructions,65946712,80.0
11.551033712,522592,branch-instructions,65961798,80.02
11.561414689,393089,branch-instructions,65948086,80.0
11.571727214,330237,branch-instructions,65962691,80.02
11.581975466,535480,branch-instructions,65948668,80.0
11.592208763,399328,branch-instructions,65962855,80.02
11.6025153,660784,branch-instructions,65948877,80.0
11.612782063,880171,branch-instructions,65963414,80.02
11.623143231,499666,branch-instructions,65949712,80.0
11.633399076,321306,branch-instructions,65963991,80.02
11.643637653,363159,branch-instructions,65949770,80.0
11.653894636,329513,branch-instructions,65964040,80.02
11.66415608,437778,branch-instructions,65949667,80.01
11.674373829,372057,branch-instructions,65963893,80.02
11.684659876,391892,branch-instructions,65949804,80.01
11.694900903,394053,branch-instructions,65964132,80.02
11.70517021,392425,branch-instructions,65950321,80.01
11.715460962,321123,branch-instructions,65964621,80.02
11.725736851,503140,branch-instructions,65950369,80.01
11.735985731,337426,branch-instructions,65964768,80.03
11.746370181,423958,branch-instructions,65951109,80.01
11.756623243,323339,branch-instructions,65963273,80.02
11.766837946,312420,branch-instructions,65951353,80.01
11.777121149,315993,branch-instructions,65959989,80.02
11.787289799,321538,branch-instructions,65951577,80.01
11.797646623,319331,branch-instructions,65956814,80.02
11.807835561,582783,branch-instructions,65952277,80.01
11.81825207,349134,branch-instructions,65953264,80.01
11.828479075,382129,branch-instructions,65952218,80.01
11.838779676,286420,branch-instructions,65949625,80.01
11.849073822,305114,branch-instructions,65953104,80.01
11.859326518,325065,branch-instructions,65946542,80.01
11.869571678,361503,branch-instructions,65953813,80.01
11.879912482,993494,branch-instructions,65942973,80.0
11.890258436,770163,branch-instructions,65954748,80.02
11.900521071,2290641,branch-instructions,65941188,80.0
11.910781348,1363747,branch-instructions,65955124,80.02
11.921036896,1143895,branch-instructions,65941514,80.0
11.931296994,1572280,branch-instructions,65955287,80.02
11.941470982,393777,branch-instructions,65940612,80.0
11.951611598,318939,branch-instructions,65953719,80.02
11.961768372,1770738,branch-instructions,65939774,80.0
11.971932805,5978986,branch-instructions,65953028,80.02
11.982097549,659460,branch-instructions,65938648,80.0
11.992344602,1171415,branch-instructions,65952849,80.02
12.002681326,589076,branch-instructions,65939454,80.0
12.0131407,1247059,branch-instructions,65955251,80.02
12.023503735,1356385,branch-instructions,65942034,80.0
12.033865816,955511,branch-instructions,65956131,80.02
12.044141776,1411329,branch-instructions,65942608,80.01
12.054370499,549255,branch-instructions,65956686,80.02
12.064747871,1638757,branch-instructions,65943941,80.01
12.075039769,937991,branch-instructions,65958305,80.02
12.085388803,965982,branch-instructions,65945375,80.01
12.095752806,1026474,branch-instructions,65959903,80.02
12.106175185,403722,branch-instructions,65947019,80.01
12.116436801,1129458,branch-instructions,65959732,80.03
12.126623101,1764628,branch-instructions,65947095,80.01
12.137084344,385617,branch-instructions,65956227,80.02
12.147276946,1389812,branch-instructions,65948142,80.01
12.157618136,386814,branch-instructions,65953092,80.02
12.167799823,356208,branch-instructions,65948339,80.01
12.178174836,281823,branch-instructions,65949996,80.01
12.188419936,422425,branch-instructions,65949201,80.01
12.198820347,301263,branch-instructions,65946707,80.01
12.209026133,1016812,branch-instructions,65949988,80.01
12.219385049,356606,branch-instructions,65943579,80.01
12.229549441,515681,branch-instructions,65950539,80.01
12.239860216,337308,branch-instructions,65940481,80.0
12.250069883,1450582,branch-instructions,65950603,80.02
12.260332766,1337620,branch-instructions,65937349,80.0
12.270562649,829670,branch-instructions,65950872,80.02
12.280825794,1221245,branch-instructions,65937468,80.0
12.291135756,1048190,branch-instructions,65951425,80.02
12.301499233,1179412,branch-instructions,65938619,80.0
12.311799611,1680915,branch-instructions,65952724,80.02
12.322195331,845854,branch-instructions,65940051,80.0
12.332482279,1073610,branch-instructions,65954004,80.02
12.342894005,457656,branch-instructions,65941587,80.0
12.353270006,345078,branch-instructions,65955829,80.02
12.363581181,401450,branch-instructions,65942598,80.0
12.373800522,350017,branch-instructions,65956201,80.02
12.384201703,835325,branch-instructions,65943277,80.01
12.394418112,484892,branch-instructions,65956375,80.02
12.404704189,1053070,branch-instructions,65943938,80.01
12.415063428,1303903,branch-instructions,65957868,80.02
12.425408848,986143,branch-instructions,65945369,80.01
12.435813336,1675210,branch-instructions,65959501,80.02
12.446169415,1013753,branch-instructions,65947140,80.01
12.456474109,431141,branch-instructions,65959414,80.02
12.466622169,822359,branch-instructions,65946882,80.01
12.477363718,3929747,branch-instructions,65956278,80.02
12.487600769,490124,branch-instructions,65949926,80.01
12.49784723,1019039,branch-instructions,65953046,80.02
12.508031848,322277,branch-instructions,65950170,80.01
12.518377314,352253,branch-instructions,65949984,80.01
12.528527646,1298429,branch-instructions,65949630,80.01
12.538774412,398991,branch-instructions,65946779,80.01
12.548976081,1064697,branch-instructions,65949466,80.01
12.559257397,428482,branch-instructions,65943611,80.01
12.569452602,967540,branch-instructions,65949576,80.01
12.579789488,427465,branch-instructions,65940448,80.0
12.58993229,601189,branch-instructions,65949420,80.02
12.600242117,966767,branch-instructions,65937306,80.0
12.61042701,481640,branch-instructions,65949857,80.02
12.620863203,373380,branch-instructions,65938036,80.0
12.63129749,395368,branch-instructions,65952411,80.02
12.641719796,388540,branch-instructions,65940064,80.0
12.651911243,338580,branch-instructions,65953399,80.02
12.662338752,515450,branch-instructions,65941009,80.0
12.672634364,418620,branch-instructions,65954339,80.02
12.683003489,358752,branch-instructions,65942280,80.0
12.693361302,380442,branch-instructions,65955952,80.02
12.703703126,376276,branch-instructions,65943652,80.01
12.714027753,343390,branch-instructions,65957250,80.02
12.724421574,385265,branch-instructions,65945108,80.01
12.734821698,425563,branch-instructions,65958570,80.02
